#,HEAD OF ACCOUNT,HEAD DESCRIPTION,Major Head,Sub-Major Head,Minor Head,Sub-Minor Head,Detailed Head,Object Head,Voucher Head,Area,ACTUALS 2016-17,BUDGET 2017-18,REVISED 2017-18,BUDGET 2018-19
1,0005-00-901-0000-000-00-00-GA,Central Goods and Services Tax (CGST)$Null$Share of Net Proceeds Assigned to States$Null$Null$NULL$NULL,Central Goods and Services Tax (CGST),Null,Share of Net Proceeds Assigned to States,Null,Null,NULL,NULL,General Area,0.0,0.0,307883.0,905111.0
2,0006-00-101-6872-001-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Excess due to Mistake/ Inadvertence$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Excess due to Mistake/ Inadvertence,NULL,NULL,General Area,0.0,0.0,17.6,40.0
3,0006-00-101-6872-002-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Exports$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Exports,NULL,NULL,General Area,0.0,0.0,22.0,50.0
4,0006-00-101-6872-003-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Deemed Exports$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Deemed Exports,NULL,NULL,General Area,0.0,0.0,0.66,1.5
5,0006-00-101-6872-004-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Provisional Assessment$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Provisional Assessment,NULL,NULL,General Area,0.0,0.0,26.4,60.0
6,0006-00-101-6872-005-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Pre-deposit for Filing Appeal$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Pre-deposit for Filing Appeal,NULL,NULL,General Area,0.0,0.0,8.8,20.0
7,0006-00-101-6872-006-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Refund or Duty paid during Investigation$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Refund or Duty paid during Investigation,NULL,NULL,General Area,0.0,0.0,4.4,10.0
8,0006-00-101-6872-007-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Purchases made by Embassies$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Purchases made by Embassies,NULL,NULL,General Area,0.0,0.0,0.88,2.0
9,0006-00-101-6872-008-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Refund of Accumulated Credit Due to inverted Duty Structure$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Refund of Accumulated Credit Due to inverted Duty Structure,NULL,NULL,General Area,0.0,0.0,88.0,200.0
10,0006-00-101-6872-009-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Year end or Volume based Incentives$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Year end or Volume based Incentives,NULL,NULL,General Area,0.0,0.0,140.8,320.0
11,0006-00-101-6872-010-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Tax Refund for International Tourists$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Tax Refund for International Tourists,NULL,NULL,General Area,0.0,0.0,1.32,3.0
12,0006-00-101-6872-011-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$All UN/International bodies$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,All UN/International bodies,NULL,NULL,General Area,0.0,0.0,1.32,3.0
13,0006-00-101-6872-012-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Area Based Industrial Refund$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Area Based Industrial Refund,NULL,NULL,General Area,0.0,0.0,19800.0,45000.0
14,0006-00-101-6872-025-00-00-GA,State Good & Service Tax$null$Tax$Deduct Refunds$Others$NULL$NULL,State Good & Service Tax,null,Tax,Deduct Refunds,Others,NULL,NULL,General Area,0.0,0.0,1.32,3.0
15,0006-00-102-6871-000-00-00-GA,State Good & Service Tax$null$Interest$Collections$NULL$NULL$NULL,State Good & Service Tax,null,Interest,Collections,NULL,NULL,NULL,General Area,0.0,0.0,218.06,495.6
16,0006-00-102-6872-000-00-00-GA,State Good & Service Tax$null$Interest$Deduct Refunds$NULL$NULL$NULL,State Good & Service Tax,null,Interest,Deduct Refunds,NULL,NULL,NULL,General Area,0.0,0.0,22.0,50.0
17,0006-00-103-6871-000-00-00-GA,State Good & Service Tax$null$Penalty$Collections$NULL$NULL$NULL,State Good & Service Tax,null,Penalty,Collections,NULL,NULL,NULL,General Area,0.0,0.0,101.2,230.0
18,0006-00-103-6872-000-00-00-GA,State Good & Service Tax$null$Penalty$Deduct Refunds$NULL$NULL$NULL,State Good & Service Tax,null,Penalty,Deduct Refunds,NULL,NULL,NULL,General Area,0.0,0.0,13.2,30.0
19,0006-00-104-6871-000-00-00-GA,State Good & Service Tax$null$Fees$Collections$NULL$NULL$NULL,State Good & Service Tax,null,Fees,Collections,NULL,NULL,NULL,General Area,0.0,0.0,66.0,150.0
20,0006-00-104-6872-000-00-00-GA,State Good & Service Tax$null$Fees$Deduct Funds$NULL$NULL$NULL,State Good & Service Tax,null,Fees,Deduct Funds,NULL,NULL,NULL,General Area,0.0,0.0,8.8,20.0
21,0006-00-105-7029-000-00-00-GA,State Good & Service Tax$null$Input Tax Credit cross utilisation of SGST and IGST$Transfer in from IGST$NULL$NULL$NULL,State Good & Service Tax,null,Input Tax Credit cross utilisation of SGST and IGST,Transfer in from IGST,NULL,NULL,NULL,General Area,0.0,0.0,8604.2,19555.0
22,0006-00-105-7030-000-00-00-GA,State Good & Service Tax$null$Input Tax Credit cross utilisation of SGST and IGST$Transfer out to IGST$NULL$NULL$NULL,State Good & Service Tax,null,Input Tax Credit cross utilisation of SGST and IGST,Transfer out to IGST,NULL,NULL,NULL,General Area,0.0,0.0,5736.28,13037.0
23,0006-00-106-0000-000-00-00-GA,State Good & Service Tax$null$Apportionment of IGST-Transfer-in of Tax Component to SGST$NULL$NULL$NULL$NULL,State Good & Service Tax,null,Apportionment of IGST-Transfer-in of Tax Component to SGST,NULL,NULL,NULL,NULL,General Area,0.0,0.0,163908.52,389740.0
24,0006-00-107-0000-000-00-00-GA,State Good & Service Tax$null$Apportionment of IGST-Transfer-in of Interest Component to SGST$NULL$NULL$NULL$NULL,State Good & Service Tax,null,Apportionment of IGST-Transfer-in of Interest Component to SGST,NULL,NULL,NULL,NULL,General Area,0.0,0.0,154.0,350.0
25,0006-00-108-0000-000-00-00-GA,"State Good & Service Tax$null$Apportionment
of IGST-Transfer-in of Penalty Component to SGST$NULL$NULL$NULL$NULL",State Good & Service Tax,null,"Apportionment
of IGST-Transfer-in of Penalty Component to SGST",NULL,NULL,NULL,NULL,General Area,0.0,0.0,74.8,170.0
26,0006-00-109-7031-000-00-00-GA,State Good & Service Tax$null$Sale proceeds of confiscated Goods$Sale proceeds of confiscated Goods$NULL$NULL$NULL,State Good & Service Tax,null,Sale proceeds of confiscated Goods,Sale proceeds of confiscated Goods,NULL,NULL,NULL,General Area,0.0,0.0,631.4,1435.0
27,0006-00-109-7032-000-00-00-GA,"State Good & Service Tax$null$Sale proceeds of confiscated Goods$Fees, Fines and Penalties$NULL$NULL$NULL",State Good & Service Tax,null,Sale proceeds of confiscated Goods,"Fees, Fines and Penalties",NULL,NULL,NULL,General Area,0.0,0.0,344.96,784.0
28,0006-00-500-0000-000-00-00-GA,State Good & Service Tax$null$Receipts awaiting transfer to other Minor Heads$NULL$NULL$NULL$NULL,State Good & Service Tax,null,Receipts awaiting transfer to other Minor Heads,NULL,NULL,NULL,NULL,General Area,0.0,0.0,2.2,5.0
29,0006-00-800-6871-000-00-00-GA,State Good & Service Tax$null$Other Receipts$Collections$NULL$NULL$NULL,State Good & Service Tax,null,Other Receipts,Collections,NULL,NULL,NULL,General Area,0.0,0.0,0.44,1.0
30,0006-00-800-6872-000-00-00-GA,State Good & Service Tax$null$Other Receipts$Deduct Refunds$NULL$NULL$NULL,State Good & Service Tax,null,Other Receipts,Deduct Refunds,NULL,NULL,NULL,General Area,0.0,0.0,0.44,1.0
31,0006-00-901-0000-000-00-00-GA,State Good & Service Tax$null$Share of Net Proceeds assigned to States$null$null$NULL$NULL,State Good & Service Tax,null,Share of Net Proceeds assigned to States,null,null,NULL,NULL,General Area,0.0,1122327.81,0.0,0.0
32,0008-01-106-7027-000-00-00-GA,Integrated Goods and Services Tax (IGST)$IGST on Import/Export of Goods and Services$Input Tax Credit cross utilisation between IGST & SGST$Transfer-in to IGST from SGST$NULL$NULL$NULL,Integrated Goods and Services Tax (IGST),IGST on Import/Export of Goods and Services,Input Tax Credit cross utilisation between IGST & SGST,Transfer-in to IGST from SGST,NULL,NULL,NULL,General Area,0.0,0.0,0.0,5.0
33,0008-01-106-7028-000-00-00-GA,Integrated Goods and Services Tax (IGST)$IGST on Import/Export of Goods and Services$Input Tax Credit cross utilisation between IGST & SGST$Transfer out from IGST to SGST$NULL$NULL$NULL,Integrated Goods and Services Tax (IGST),IGST on Import/Export of Goods and Services,Input Tax Credit cross utilisation between IGST & SGST,Transfer out from IGST to SGST,NULL,NULL,NULL,General Area,0.0,0.0,0.0,10.0
34,0008-01-109-0000-000-00-00-GA,Integrated Goods and Services Tax (IGST)$IGST on Import/Export of Goods and Services$Sale proceeds of confiscated Goods$NULL$NULL$NULL$NULL,Integrated Goods and Services Tax (IGST),IGST on Import/Export of Goods and Services,Sale proceeds of confiscated Goods,NULL,NULL,NULL,NULL,General Area,0.0,0.0,0.0,1.0
35,0008-01-901-0000-000-00-00-GA,Integrated Goods and Services Tax (IGST)$IGST on Import/Export of Goods and Services$share of net proceeds Assigned to states$NULL$NULL$NULL$NULL,Integrated Goods and Services Tax (IGST),IGST on Import/Export of Goods and Services,share of net proceeds Assigned to states,NULL,NULL,NULL,NULL,General Area,0.0,0.0,225141.0,69531.0
